Creating sequence-to-sequences 

2016-08-09 03:14:17.841638
 3 layers of 512 units  2 context size 128 bach-size. 
global step 3000 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.02 
global step 3100 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 3200 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.07 
global step 3300 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.07 
global step 3400 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.06 
global step 3500 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.02 
global step 3600 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.02 
global step 3700 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 3800 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.02 
global step 3900 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 4000 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 4100 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 4200 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 4300 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 4400 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.05 
global step 4500 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.02 
global step 4600 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 4700 learning rate 0.0010 step-time 0.07 loss 1.12  perplexity 3.05 
global step 4800 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 2.99 
global step 4900 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.02 
global step 5000 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
epoch  1 finished 
  train:  loss 1.1036 perplexity 3.0151 
  eval:  loss 1.1286 perplexity 3.0912 
global step 5100 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.04 
global step 5200 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 5300 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 5400 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 5500 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
global step 5600 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
global step 5700 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 5800 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 5900 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 6000 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 6100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 6200 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 6300 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 6400 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 6500 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 6600 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 6700 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 6800 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 6900 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 7000 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 7100 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 7200 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
global step 7300 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 7400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 7500 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 7600 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
epoch  2 finished 
  train:  loss 1.0949 perplexity 2.9889 
  eval:  loss 1.1243 perplexity 3.0781 
global step 7700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 7800 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.02 
global step 7900 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 8000 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 8100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 8200 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 8300 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
global step 8400 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 8500 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 8600 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 8700 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 8800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 8900 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 9000 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.03 
global step 9100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 9200 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
global step 9300 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 9400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 9500 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 9600 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 9700 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
global step 9800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 9900 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 10000 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.96 
global step 10100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
epoch  3 finished 
  train:  loss 1.0912 perplexity 2.9777 
  eval:  loss 1.1267 perplexity 3.0854 
global step 10200 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 10300 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.96 
global step 10400 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 10500 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 10600 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 10700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.93 
global step 10800 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 10900 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.93 
global step 11000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 11100 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 11200 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.02 
global step 11300 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.02 
global step 11400 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.01 
global step 11500 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 2.99 
global step 11600 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 11700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 11800 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 11900 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 12000 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.90 
global step 12100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.96 
global step 12200 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 12300 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 12400 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 12500 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 12600 learning rate 0.0010 step-time 0.07 loss 1.10  perplexity 3.00 
global step 12700 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
epoch  4 finished 
  train:  loss 1.0835 perplexity 2.9551 
  eval:  loss 1.1231 perplexity 3.0743 
global step 12800 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 12900 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 13000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 13100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 13200 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 13300 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 13400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 13500 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 13600 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.99 
global step 13700 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 13800 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 13900 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 14000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 14100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.98 
global step 14200 learning rate 0.0010 step-time 0.07 loss 1.11  perplexity 3.02 
global step 14300 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 14400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 14500 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 14600 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 14700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.93 
global step 14800 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.93 
global step 14900 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 15000 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 15100 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 15200 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
epoch  5 finished 
  train:  loss 1.0827 perplexity 2.9525 
  eval:  loss 1.1253 perplexity 3.0811 
global step 15300 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 15400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.93 
global step 15500 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.93 
global step 15600 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.93 
global step 15700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 15800 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.96 
global step 15900 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 16000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 16100 learning rate 0.0010 step-time 0.07 loss 1.06  perplexity 2.89 
global step 16200 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 16300 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 16400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 16500 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 16600 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 16700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.93 
global step 16800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 16900 learning rate 0.0010 step-time 0.07 loss 1.06  perplexity 2.88 
global step 17000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 17100 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 17200 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 17300 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.96 
global step 17400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 17500 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.96 
global step 17600 learning rate 0.0010 step-time 0.07 loss 1.06  perplexity 2.90 
global step 17700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
epoch  6 finished 
  train:  loss 1.0799 perplexity 2.9444 
  eval:  loss 1.1237 perplexity 3.0763 
global step 17800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 17900 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 18000 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 18100 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.96 
global step 18200 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 18300 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 18400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 18500 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.93 
global step 18600 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 18700 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.93 
global step 18800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 18900 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.93 
global step 19000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 19100 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 19200 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 19300 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 19400 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.93 
global step 19500 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 19600 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 19700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 19800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 19900 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.93 
global step 20000 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 20100 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 20200 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 20300 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
epoch  7 finished 
  train:  loss 1.0776 perplexity 2.9377 
  eval:  loss 1.1239 perplexity 3.0769 
global step 20400 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 20500 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 20600 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 20700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 20800 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 20900 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 21000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.96 
global step 21100 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 21200 learning rate 0.0010 step-time 0.07 loss 1.06  perplexity 2.89 
global step 21300 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 21400 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 21500 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 21600 learning rate 0.0010 step-time 0.07 loss 1.09  perplexity 2.97 
global step 21700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 21800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 21900 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.93 
global step 22000 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 22100 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 22200 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 22300 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 22400 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.91 
global step 22500 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
global step 22600 learning rate 0.0010 step-time 0.07 loss 1.07  perplexity 2.92 
global step 22700 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.94 
global step 22800 learning rate 0.0010 step-time 0.07 loss 1.08  perplexity 2.95 
epoch  8 finished 
  train:  loss 1.0778 perplexity 2.9381 
  eval:  loss 1.1255 perplexity 3.0819 
Stopped training after 9 epochs
best training loss 2.9381 best validation 3.0743 
  test:  loss 1.1179 perplexity 3.0584 
