
2016-08-03 20:39:32.013726
Creating sequence-to-sequences 
with attention mechanism 
 2 layers of 1024 units  2 context size 128 bach-size. 
global step 9500 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 9600 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 9700 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 9800 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.06 
global step 9900 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.04 
global step 10000 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 10100 learning rate 0.0010 step-time 0.09 loss 1.10  perplexity 3.01 
epoch  3 finished 
  avg train batch:  loss 1.1220 perplexity 3.0709 
  eval:  loss 1.1392 perplexity 3.1357 
global step 10200 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.04 
global step 10300 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.06 
global step 10400 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.05 
global step 10500 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.04 
global step 10600 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.04 
global step 10700 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.04 
global step 10800 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 10900 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 11000 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.06 
global step 11100 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 11200 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.05 
global step 11300 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 11400 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.05 
global step 11500 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.05 
global step 11600 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.03 
global step 11700 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 11800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 11900 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.07 
global step 12000 learning rate 0.0010 step-time 0.09 loss 1.11  perplexity 3.04 
global step 12100 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.15 
global step 12200 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 12300 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 12400 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 12500 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 12600 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.08 
global step 12700 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
epoch  4 finished 
  avg train batch:  loss 1.1226 perplexity 3.0729 
  eval:  loss 1.1437 perplexity 3.1493 
global step 12800 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.09 
global step 12900 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.10 
global step 13000 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.16 
global step 13100 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 13200 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.18 
global step 13300 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.12 
global step 13400 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.08 
global step 13500 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.11 
global step 13600 learning rate 0.0010 step-time 0.09 loss 1.13  perplexity 3.11 
global step 13700 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.14 
global step 13800 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.14 
global step 13900 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.14 
global step 14000 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.13 
global step 14100 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.14 
global step 14200 learning rate 0.0010 step-time 0.09 loss 1.12  perplexity 3.08 
global step 14300 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 14400 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 14500 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.14 
global step 14600 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.19 
global step 14700 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.19 
global step 14800 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 14900 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 15000 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.21 
global step 15100 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.23 
global step 15200 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.21 
epoch  5 finished 
  avg train batch:  loss 1.1494 perplexity 3.1563 
  eval:  loss 1.1741 perplexity 3.2473 
global step 15300 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 15400 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 15500 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 15600 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 15700 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.21 
global step 15800 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 15900 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.23 
global step 16000 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 16100 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.18 
global step 16200 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.18 
global step 16300 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 16400 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.27 
global step 16500 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.21 
global step 16600 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.21 
global step 16700 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.18 
global step 16800 learning rate 0.0010 step-time 0.09 loss 1.14  perplexity 3.13 
global step 16900 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 17000 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 17100 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 17200 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 17300 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.34 
global step 17400 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 17500 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.30 
global step 17600 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 17700 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
epoch  6 finished 
  avg train batch:  loss 1.1720 perplexity 3.2285 
  eval:  loss 1.1862 perplexity 3.2874 
global step 17800 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 17900 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 18000 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.30 
global step 18100 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 18200 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 18300 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.34 
global step 18400 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 18500 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 18600 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 18700 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 18800 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 18900 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 19000 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 19100 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 19200 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 19300 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
global step 19400 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 19500 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 19600 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 19700 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 19800 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 19900 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 20000 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 20100 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 20200 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 20300 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
epoch  7 finished 
  avg train batch:  loss 1.1817 perplexity 3.2600 
  eval:  loss 1.1852 perplexity 3.2854 
global step 20400 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 20500 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 20600 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.23 
global step 20700 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.30 
global step 20800 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.23 
global step 20900 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.27 
global step 21000 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.24 
global step 21100 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 21200 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 21300 learning rate 0.0010 step-time 0.09 loss 1.15  perplexity 3.16 
global step 21400 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
global step 21500 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 21600 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 21700 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 21800 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.23 
global step 21900 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 22000 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.24 
global step 22100 learning rate 0.0010 step-time 0.09 loss 1.16  perplexity 3.20 
global step 22200 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 22300 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
global step 22400 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.35 
global step 22500 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 22600 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 22700 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 22800 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.21 
epoch  8 finished 
  avg train batch:  loss 1.1801 perplexity 3.2548 
  eval:  loss 1.1913 perplexity 3.3040 
global step 22900 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.27 
global step 23000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 23100 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 23200 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 23300 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
global step 23400 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 23500 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.30 
global step 23600 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 23700 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.37 
global step 23800 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.36 
global step 23900 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 24000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 24100 learning rate 0.0010 step-time 0.09 loss 1.24  perplexity 3.45 
global step 24200 learning rate 0.0010 step-time 0.09 loss 1.23  perplexity 3.41 
global step 24300 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.35 
global step 24400 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 24500 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 24600 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 24700 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.35 
global step 24800 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 24900 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.36 
global step 25000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 25100 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 25200 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.34 
global step 25300 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 25400 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
epoch  9 finished 
  avg train batch:  loss 1.2027 perplexity 3.3289 
  eval:  loss 1.2019 perplexity 3.3400 
global step 25500 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 25600 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 25700 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.24 
global step 25800 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 25900 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
global step 26000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 26100 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 26200 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 26300 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 26400 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.27 
global step 26500 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.34 
global step 26600 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 26700 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.30 
global step 26800 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 26900 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.30 
global step 27000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 27100 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 27200 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 27300 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 27400 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.27 
global step 27500 learning rate 0.0010 step-time 0.09 loss 1.17  perplexity 3.22 
global step 27600 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 27700 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 27800 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 27900 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
epoch  10 finished 
  avg train batch:  loss 1.1927 perplexity 3.2960 
  eval:  loss 1.2028 perplexity 3.3432 
global step 28000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 28100 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.38 
global step 28200 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.37 
global step 28300 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 28400 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.40 
global step 28500 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.36 
global step 28600 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 28700 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.37 
global step 28800 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.34 
global step 28900 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
global step 29000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 29100 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 29200 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 29300 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 29400 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.36 
global step 29500 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.34 
global step 29600 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.36 
global step 29700 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.26 
global step 29800 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.35 
global step 29900 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.31 
global step 30000 learning rate 0.0010 step-time 0.09 loss 1.23  perplexity 3.42 
global step 30100 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.39 
global step 30200 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.32 
global step 30300 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.37 
global step 30400 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.39 
global step 30500 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.34 
epoch  11 finished 
  avg train batch:  loss 1.2063 perplexity 3.3412 
  eval:  loss 1.2226 perplexity 3.4109 
global step 30600 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.37 
global step 30700 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.36 
global step 30800 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.30 
global step 30900 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.30 
global step 31000 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 31100 learning rate 0.0010 step-time 0.09 loss 1.21  perplexity 3.36 
global step 31200 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 31300 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 31400 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 31500 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.29 
global step 31600 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.25 
global step 31700 learning rate 0.0010 step-time 0.09 loss 1.18  perplexity 3.27 
global step 31800 learning rate 0.0010 step-time 0.09 loss 1.20  perplexity 3.33 
global step 31900 learning rate 0.0010 step-time 0.09 loss 1.19  perplexity 3.28 
global step 32000 learning rate 0.0010 step-time 0.09 loss 1.22  perplexity 3.38 
